loss,PSNR,SSIM,val_loss,val_PSNR,val_SSIM,lr
0.059930071234703064,23.75493621826172,0.814410924911499,0.202805295586586,13.835512161254883,0.05374718829989433,0.001
0.029459770768880844,28.64920997619629,0.9677622318267822,0.15860025584697723,14.397811889648438,0.6254433393478394,0.001
0.027979698032140732,29.98389434814453,0.9753544926643372,0.040898390114307404,23.1312255859375,0.9115058183670044,0.001
0.027352046221494675,30.697370529174805,0.9779147505760193,0.027749182656407356,32.524871826171875,0.9790299534797668,0.001
0.0268950667232275,31.31505584716797,0.9795669317245483,0.026693284511566162,34.032596588134766,0.9836426973342896,0.001
0.02666280046105385,31.651294708251953,0.9803862571716309,0.02669699676334858,34.26576232910156,0.983110785484314,0.001
0.02630138024687767,32.3288459777832,0.9813957214355469,0.026251180097460747,35.2586784362793,0.9832600355148315,0.001
0.025985948741436005,32.99473571777344,0.9823914170265198,0.026595743373036385,34.60375213623047,0.983117938041687,0.001
0.025583509355783463,33.96560287475586,0.9834114909172058,0.02589368261396885,36.72969055175781,0.9844317436218262,0.001
0.025314437225461006,34.730445861816406,0.9841888546943665,0.025961842387914658,36.4610481262207,0.9854757189750671,0.001
0.025121163576841354,35.362281799316406,0.9848077297210693,0.026604557409882545,34.97954177856445,0.9845913648605347,0.001
0.02499978244304657,35.723045349121094,0.9852154850959778,0.025457685813307762,39.410179138183594,0.98517906665802,0.001
0.024928629398345947,35.99812698364258,0.9853854775428772,0.02537545934319496,39.54801559448242,0.9872792959213257,0.001
0.024770040065050125,36.47455596923828,0.9859886169433594,0.025365261361002922,38.882713317871094,0.9844579696655273,0.001
0.024702122434973717,36.80703353881836,0.9861205816268921,0.02570248767733574,37.648048400878906,0.9867663383483887,0.001
0.024590352550148964,37.173465728759766,0.9865531325340271,0.02629738114774227,35.68451690673828,0.9826046228408813,0.001
0.024525299668312073,37.40489959716797,0.9866665601730347,0.025361530482769012,38.98276901245117,0.986640453338623,0.001
0.024371521547436714,37.875953674316406,0.9873886108398438,0.025575442239642143,37.88623809814453,0.9871198534965515,0.000100000005
0.02433406002819538,37.94805908203125,0.9875364303588867,0.025725455954670906,36.781341552734375,0.9868878126144409,0.000100000005
0.024318920448422432,37.97782897949219,0.9875672459602356,0.025616152212023735,37.68034362792969,0.9871883392333984,0.000100000005
